"","uid","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","stayindestination","dtrips","home"
"1","614820f9e6","1",717007.760790743,9677052.51353119,2616.9,23.305,716997.473731059,9677064.52016927,2617,16.63361,15.2423819260396,17.3286111111111,2,1685464681,20.59028,16,"Y"
"12","614820f9e6","2",716940.155956977,9677009.16608754,2617.8,6.51694,717008.07158345,9677071.40305427,2617.3,19.89528,28.9092731291402,13.3783333333333,3,1686686023,57620.016,16,"Y"
"15","614820f9e6","3",717000.356129915,9677059.5050951,2617.3,9.94361,717004.491280248,9677058.72373166,2616.6,22.5225,38.8031728671361,12.5788888888889,1,1687127481,25364.016,16,"Y"
"16","614820f9e6","4",717002.757407515,9677039.96939727,2617.7,7.67111,717007.035596838,9677063.92845838,2616.6,16.98917,8.64312203826929,9.31805555555556,2,1687193961,42913.008,16,"Y"
"17","614820f9e6","5",716927.689969336,9676983.04247935,2618.1,6.62806,717003.621012186,9677069.84029711,2616.3,19.59139,18.9499501059909,12.9633333333333,3,1687289729,30186.972,16,"Y"
"18","614820f9e6","6",717242.001867542,9676915.07599266,2617.3,7.8175,717004.967022417,9677076.55123146,2616.2,15.01333,21.895086972125,7.19583333333333,4,1687359648,24647.004,16,"Y"
"19","614820f9e6","7",717103.112201779,9677020.7722936,2628,6.62306,722195.163239048,9677224.13022435,2537.2,14.66389,20.9574626915506,32.0408333333333,5,1687531190,57307.968,3,"N"
"20","614820f9e6","8",717013.447118379,9677074.13653931,2616.1,13.55444,717003.59733274,9677056.20365974,2617.3,22.54194,14.0257932538675,8.9875,1,1687732351,18.97584,16,"Y"
"21","614820f9e6","9",716984.901755612,9677060.61578583,2617.3,9.06167,722211.007589119,9677235.73725934,2538.6,8.53028,9.37896840119043,23.4686111111111,2,1687854709,42260.004,3,"N"
"2","614820f9e6","10",717001.883050059,9677061.53743866,2616.9,5.97917,717006.312149848,9677057.13902467,2617.1,20.80056,12.4220470342483,14.8213888888889,4,1685566082,60253.992,16,"Y"
"3","614820f9e6","11",717003.459384347,9677060.00845516,2616.9,6.55083,717008.923682662,9677049.8239911,2617.1,22.71639,52.9878250115456,16.1655555555556,5,1685659379,28133.028,16,"Y"
"4","614820f9e6","12",717021.132823339,9676998.47445816,2615.1,8.695,722183.670753306,9677208.48959141,2539,14.36556,36.7395187082039,5.67055555555556,6,1685715716,25994.988,3,"N"
"5","614820f9e6","13",716989.855340367,9677050.88566037,2616.8,12.26083,717007.784758844,9677059.91246615,2617.1,15.91583,17.4234636256569,3.655,2,1685980497,27284.004,16,"Y"
"6","614820f9e6","14",716997.661093659,9677063.55764524,2617.1,2.1075,717017.257457679,9677072.00644949,2617.5,19.83972,19.1248236574382,17.7322222222222,3,1686081023,62841.996,16,"Y"
"7","614820f9e6","15",717000.756512042,9677072.3558355,2617.1,7.12472,717008.189712169,9677056.18462525,2616.7,19.56361,55.4989988232919,12.4388888888889,4,1686166429,29838.024,16,"Y"
"8","614820f9e6","16",716941.753223831,9677006.88500541,2616.3,7.81444,717000.191755611,9677054.49531139,2617.3,15.41306,21.2587221673912,7.59861111111111,5,1686237887,25979.004,16,"Y"
"9","614820f9e6","17",717266.585269665,9676869.10200485,2613.4,8.87889,722188.767858672,9677310.96312022,2535.9,15.03083,19.7406585336728,6.15194444444444,6,1686322911,35547.984,2,"N"
"10","614820f9e6","18",717000.094060432,9677062.27048898,2617.3,10.285,717003.592320332,9677059.72067068,2616.7,18.75333,16.1310591856673,8.46833333333333,1,1686509112,35280,16,"Y"
"11","614820f9e6","19",716979.61469497,9676974.3588836,2618.2,9.59083,717000.569073295,9677060.46692404,2617.3,20.085,64.2980938096907,10.4941666666667,2,1686600306,19950.012,16,"Y"
"13","614820f9e6","20",717058.714902751,9677061.16224597,2626,7.11639,716992.776166214,9677068.00108905,2616.6,15.1325,11.5723505668462,8.01611111111111,4,1686755277,37923.012,16,"Y"
"14","614820f9e6","21",717002.148960451,9677060.98398915,2616.6,23.80694,718951.04877017,9676537.64893963,2617.5,17.65056,55.4636601833753,17.8436111111111,4,1686850742,0,2,"N"
