"","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","uid","id"
"1","1",717228.913384781,9676882.72681051,2617.3,6.65778,722215.6747604,9677158.85042257,2538.1,6.89056,6.11272986451565,0.23278,3,1685429606,"614820f9e6",1
"2","2",722228.44758145,9677162.84252241,2539.8,8.67111,722206.441416632,9677231.80798951,2538.8,9.00083,0.203747734764211,0.32972,3,1685437203,"614820f9e6",2
"3","3",722217.530101696,9677176.66489659,2540.7,11.12417,722218.982920593,9677174.47242037,2537.5,11.15306,0.0314888130653179,0.0288900000000005,3,1685444951,"614820f9e6",3
"4","4",722221.896414519,9677168.25148223,2539.8,12.24778,722402.4262945,9677279.13955374,2532.2,12.36639,0.383279803684241,0.11861,3,1685449319,"614820f9e6",4
"5","5",722327.945446069,9677235.82801156,2534.9,12.91694,722198.124453155,9677169.67624557,2545.2,12.99778,0.111867812159863,0.0808400000000002,3,1685451592,"614820f9e6",5
"6","6",722219.744180191,9677171.08668587,2544.7,14.10639,722319.821466212,9677194.71003471,2535.2,14.21889,0.217506743507635,0.112500000000001,3,1685455988,"614820f9e6",6
"7","7",722284.203067922,9677244.12341578,2535.3,14.73167,722319.822752379,9677189.17999453,2535.2,14.91028,0.19505546374406,0.178610000000001,3,1685458477,"614820f9e6",7
"8","8",722230.79210701,9677218.13870629,2537.5,15.60222,722186.069077495,9677200.21239883,2538.2,15.635,0.0411490232465016,0.0327799999999989,3,1685461086,"614820f9e6",8
"9","9",722167.903118201,9676933.53117146,2562.3,15.97472,717010.139638605,9677058.48166835,2616.9,16.57806,6.52144870524182,0.603340000000001,3,1685464481,"614820f9e6",9
